Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;;Total;2022;3.405.171
Total Nacional;;Total;2020;3.238.172
Total Nacional;;Total;2018;3.178.653
Total Nacional;;Total;2016;3.553.637
Total Nacional;;Total;2014;3.599.437
Total Nacional;;Total;2013;3.735.690
Total Nacional;;Total;2012;3.562.119
Total Nacional;;Total;2011;3.391.477
Total Nacional;;Total;2010;3.635.655
Total Nacional;;Total;2009;3.739.127
Total Nacional;;Total;2008;3.757.106
Total Nacional;;Total;2007;3.762.619
Total Nacional;;Total;2006;3.840.220
Total Nacional;;Total;2005;4.066.341
Total Nacional;;Total;2004;4.193.613
Total Nacional;;Total;2003;4.214.160
Total Nacional;;Total;2002;4.105.632
Total Nacional;;Total;2001;4.183.657
Total Nacional;;Total;2000;4.013.562
Total Nacional;;Aguas superficiales;2022;2.260.877
Total Nacional;;Aguas superficiales;2020;2.153.165
Total Nacional;;Aguas superficiales;2018;2.040.822
Total Nacional;;Aguas superficiales;2016;2.332.169
Total Nacional;;Aguas superficiales;2014;2.436.040
Total Nacional;;Aguas superficiales;2013;2.479.923
Total Nacional;;Aguas superficiales;2012;2.402.343
Total Nacional;;Aguas superficiales;2011;2.258.931
Total Nacional;;Aguas superficiales;2010;2.463.835
Total Nacional;;Aguas superficiales;2009;2.517.139
Total Nacional;;Aguas superficiales;2008;2.443.677
Total Nacional;;Aguas superficiales;2007;2.406.481
Total Nacional;;Aguas superficiales;2006;2.511.679
Total Nacional;;Aguas superficiales;2005;2.811.633
Total Nacional;;Aguas superficiales;2004;2.978.828
Total Nacional;;Aguas superficiales;2003;2.906.338
Total Nacional;;Aguas superficiales;2002;2.980.542
Total Nacional;;Aguas superficiales;2001;3.094.641
Total Nacional;;Aguas superficiales;2000;2.999.577
Total Nacional;;Aguas subterráneas;2022;827.843
Total Nacional;;Aguas subterráneas;2020;892.819
Total Nacional;;Aguas subterráneas;2018;983.895
Total Nacional;;Aguas subterráneas;2016;1.050.738
Total Nacional;;Aguas subterráneas;2014;1.003.828
Total Nacional;;Aguas subterráneas;2013;1.124.635
Total Nacional;;Aguas subterráneas;2012;1.057.111
Total Nacional;;Aguas subterráneas;2011;1.004.668
Total Nacional;;Aguas subterráneas;2010;1.065.852
Total Nacional;;Aguas subterráneas;2009;1.118.600
Total Nacional;;Aguas subterráneas;2008;1.212.979
Total Nacional;;Aguas subterráneas;2007;1.226.742
Total Nacional;;Aguas subterráneas;2006;1.220.691
Total Nacional;;Aguas subterráneas;2005;1.147.594
Total Nacional;;Aguas subterráneas;2004;1.094.961
Total Nacional;;Aguas subterráneas;2003;1.179.605
Total Nacional;;Aguas subterráneas;2002;996.163
Total Nacional;;Aguas subterráneas;2001;970.566
Total Nacional;;Aguas subterráneas;2000;928.413
Total Nacional;;Desalación;2022;316.451
Total Nacional;;Desalación;2020;192.188
Total Nacional;;Desalación;2018;153.936
Total Nacional;;Desalación;2016;170.730
Total Nacional;;Desalación;2014;159.569
Total Nacional;;Desalación;2013;131.132
Total Nacional;;Desalación;2012;102.665
Total Nacional;;Desalación;2011;127.878
Total Nacional;;Desalación;2010;105.968
Total Nacional;;Desalación;2009;103.388
Total Nacional;;Desalación;2008;100.450
Total Nacional;;Desalación;2007;129.396
Total Nacional;;Desalación;2006;107.850
Total Nacional;;Desalación;2005;107.114
Total Nacional;;Desalación;2004;119.824
Total Nacional;;Desalación;2003;128.217
Total Nacional;;Desalación;2002;128.927
Total Nacional;;Desalación;2001;118.450
Total Nacional;;Desalación;2000;85.572
Total Nacional;01 Andalucía;Total;2022;457.514
Total Nacional;01 Andalucía;Total;2020;590.918
Total Nacional;01 Andalucía;Total;2018;600.535
Total Nacional;01 Andalucía;Total;2016;612.671
Total Nacional;01 Andalucía;Total;2014;583.899
Total Nacional;01 Andalucía;Total;2013;640.220
Total Nacional;01 Andalucía;Total;2012;610.179
Total Nacional;01 Andalucía;Total;2011;562.323
Total Nacional;01 Andalucía;Total;2010;573.925
Total Nacional;01 Andalucía;Total;2009;625.878
Total Nacional;01 Andalucía;Total;2008;550.577
Total Nacional;01 Andalucía;Total;2007;586.986
Total Nacional;01 Andalucía;Total;2006;678.959
Total Nacional;01 Andalucía;Total;2005;779.698
Total Nacional;01 Andalucía;Total;2004;772.806
Total Nacional;01 Andalucía;Total;2003;676.710
Total Nacional;01 Andalucía;Total;2002;708.812
Total Nacional;01 Andalucía;Total;2001;706.776
Total Nacional;01 Andalucía;Total;2000;628.876
Total Nacional;01 Andalucía;Aguas superficiales;2022;261.335
Total Nacional;01 Andalucía;Aguas superficiales;2020;361.369
Total Nacional;01 Andalucía;Aguas superficiales;2018;364.271
Total Nacional;01 Andalucía;Aguas superficiales;2016;336.107
Total Nacional;01 Andalucía;Aguas superficiales;2014;356.840
Total Nacional;01 Andalucía;Aguas superficiales;2013;331.069
Total Nacional;01 Andalucía;Aguas superficiales;2012;337.180
Total Nacional;01 Andalucía;Aguas superficiales;2011;301.187
Total Nacional;01 Andalucía;Aguas superficiales;2010;344.652
Total Nacional;01 Andalucía;Aguas superficiales;2009;392.699
Total Nacional;01 Andalucía;Aguas superficiales;2008;332.034
Total Nacional;01 Andalucía;Aguas superficiales;2007;367.094
Total Nacional;01 Andalucía;Aguas superficiales;2006;475.485
Total Nacional;01 Andalucía;Aguas superficiales;2005;497.294
Total Nacional;01 Andalucía;Aguas superficiales;2004;528.170
Total Nacional;01 Andalucía;Aguas superficiales;2003;503.639
Total Nacional;01 Andalucía;Aguas superficiales;2002;497.636
Total Nacional;01 Andalucía;Aguas superficiales;2001;525.574
Total Nacional;01 Andalucía;Aguas superficiales;2000;482.584
Total Nacional;01 Andalucía;Aguas subterráneas;2022;178.375
Total Nacional;01 Andalucía;Aguas subterráneas;2020;217.914
Total Nacional;01 Andalucía;Aguas subterráneas;2018;220.990
Total Nacional;01 Andalucía;Aguas subterráneas;2016;262.459
Total Nacional;01 Andalucía;Aguas subterráneas;2014;213.478
Total Nacional;01 Andalucía;Aguas subterráneas;2013;302.560
Total Nacional;01 Andalucía;Aguas subterráneas;2012;250.593
Total Nacional;01 Andalucía;Aguas subterráneas;2011;249.698
Total Nacional;01 Andalucía;Aguas subterráneas;2010;227.524
Total Nacional;01 Andalucía;Aguas subterráneas;2009;216.448
Total Nacional;01 Andalucía;Aguas subterráneas;2008;212.270
Total Nacional;01 Andalucía;Aguas subterráneas;2007;205.188
Total Nacional;01 Andalucía;Aguas subterráneas;2006;196.448
Total Nacional;01 Andalucía;Aguas subterráneas;2005;282.404
Total Nacional;01 Andalucía;Aguas subterráneas;2004;242.861
Total Nacional;01 Andalucía;Aguas subterráneas;2003;169.926
Total Nacional;01 Andalucía;Aguas subterráneas;2002;208.233
Total Nacional;01 Andalucía;Aguas subterráneas;2001;178.615
Total Nacional;01 Andalucía;Aguas subterráneas;2000;144.169
Total Nacional;01 Andalucía;Desalación;2022;17.805
Total Nacional;01 Andalucía;Desalación;2020;11.635
Total Nacional;01 Andalucía;Desalación;2018;15.274
Total Nacional;01 Andalucía;Desalación;2016;14.105
Total Nacional;01 Andalucía;Desalación;2014;13.581
Total Nacional;01 Andalucía;Desalación;2013;6.591
Total Nacional;01 Andalucía;Desalación;2012;22.406
Total Nacional;01 Andalucía;Desalación;2011;11.438
Total Nacional;01 Andalucía;Desalación;2010;1.749
Total Nacional;01 Andalucía;Desalación;2009;16.731
Total Nacional;01 Andalucía;Desalación;2008;6.273
Total Nacional;01 Andalucía;Desalación;2007;14.704
Total Nacional;01 Andalucía;Desalación;2006;7.026
Total Nacional;01 Andalucía;Desalación;2005;0
Total Nacional;01 Andalucía;Desalación;2004;1.775
Total Nacional;01 Andalucía;Desalación;2003;3.145
Total Nacional;01 Andalucía;Desalación;2002;2.943
Total Nacional;01 Andalucía;Desalación;2001;2.587
Total Nacional;01 Andalucía;Desalación;2000;2.123
Total Nacional;02 Aragón;Total;2022;160.424
Total Nacional;02 Aragón;Total;2020;128.134
Total Nacional;02 Aragón;Total;2018;108.880
Total Nacional;02 Aragón;Total;2016;248.544
Total Nacional;02 Aragón;Total;2014;241.843
Total Nacional;02 Aragón;Total;2013;180.839
Total Nacional;02 Aragón;Total;2012;233.520
Total Nacional;02 Aragón;Total;2011;93.312
Total Nacional;02 Aragón;Total;2010;94.799
Total Nacional;02 Aragón;Total;2009;103.556
Total Nacional;02 Aragón;Total;2008;85.417
Total Nacional;02 Aragón;Total;2007;75.108
Total Nacional;02 Aragón;Total;2006;70.171
Total Nacional;02 Aragón;Total;2005;126.266
Total Nacional;02 Aragón;Total;2004;108.115
Total Nacional;02 Aragón;Total;2003;105.481
Total Nacional;02 Aragón;Total;2002;76.605
Total Nacional;02 Aragón;Total;2001;65.260
Total Nacional;02 Aragón;Total;2000;60.601
Total Nacional;02 Aragón;Aguas superficiales;2022;156.554
Total Nacional;02 Aragón;Aguas superficiales;2020;122.278
Total Nacional;02 Aragón;Aguas superficiales;2018;99.586
Total Nacional;02 Aragón;Aguas superficiales;2016;238.403
Total Nacional;02 Aragón;Aguas superficiales;2014;227.166
Total Nacional;02 Aragón;Aguas superficiales;2013;178.137
Total Nacional;02 Aragón;Aguas superficiales;2012;227.047
Total Nacional;02 Aragón;Aguas superficiales;2011;86.126
Total Nacional;02 Aragón;Aguas superficiales;2010;86.070
Total Nacional;02 Aragón;Aguas superficiales;2009;94.694
Total Nacional;02 Aragón;Aguas superficiales;2008;76.357
Total Nacional;02 Aragón;Aguas superficiales;2007;63.773
