Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;;Volumen de aguas residuales tratadas;2022;15.428.404
Total Nacional;;Volumen de aguas residuales tratadas;2020;13.361.642
Total Nacional;;Volumen de aguas residuales tratadas;2018;13.684.587
Total Nacional;;Volumen de aguas residuales tratadas;2016;12.949.076
Total Nacional;;Volumen de aguas residuales tratadas;2014;13.540.084
Total Nacional;;Volumen de aguas residuales tratadas;2013;13.693.645
Total Nacional;;Volumen de aguas residuales tratadas;2012;13.592.255
Total Nacional;;Volumen de aguas residuales tratadas;2011;13.497.518
Total Nacional;;Volumen de aguas residuales tratadas;2010;13.326.802
Total Nacional;;Volumen de aguas residuales tratadas;2009;12.800.974
Total Nacional;;Volumen de aguas residuales tratadas;2008;12.371.505
Total Nacional;;Volumen de aguas residuales tratadas;2007;12.519.495
Total Nacional;;Volumen de aguas residuales tratadas;2006;13.371.704
Total Nacional;;Volumen de aguas residuales tratadas;2005;13.804.901
Total Nacional;;Volumen de aguas residuales tratadas;2004;13.600.198
Total Nacional;;Volumen de aguas residuales tratadas;2003;8.490.051
Total Nacional;;Volumen de aguas residuales tratadas;2002;8.016.351
Total Nacional;;Volumen de aguas residuales tratadas;2001;7.699.936
Total Nacional;;Volumen de aguas residuales tratadas;2000;7.752.624
Total Nacional;;Volumen total de agua reutilizada;2022;1.238.912
Total Nacional;;Volumen total de agua reutilizada;2020;1.457.620
Total Nacional;;Volumen total de agua reutilizada;2018;1.534.100
Total Nacional;;Volumen total de agua reutilizada;2016;1.350.536
Total Nacional;;Volumen total de agua reutilizada;2014;1.453.995
Total Nacional;;Volumen total de agua reutilizada;2013;1.455.509
Total Nacional;;Volumen total de agua reutilizada;2012;1.502.614
Total Nacional;;Volumen total de agua reutilizada;2011;1.666.429
Total Nacional;;Volumen total de agua reutilizada;2010;1.346.008
Total Nacional;;Volumen total de agua reutilizada;2009;1.464.261
Total Nacional;;Volumen total de agua reutilizada;2008;1.439.832
Total Nacional;;Volumen total de agua reutilizada;2007;1.372.115
Total Nacional;;Volumen total de agua reutilizada;2006;1.335.146
Total Nacional;;Volumen total de agua reutilizada;2005;1.083.551
Total Nacional;;Volumen total de agua reutilizada;2004;1.007.994
Total Nacional;;Volumen total de agua reutilizada;2003;463.557
Total Nacional;;Volumen total de agua reutilizada;2002;496.714
Total Nacional;;Volumen total de agua reutilizada;2001;561.599
Total Nacional;;Volumen total de agua reutilizada;2000;733.894
Total Nacional;;Importe facturado por alcantarillado y depuración;2022;2.410.272
Total Nacional;;Importe facturado por alcantarillado y depuración;2020;2.481.515
Total Nacional;;Importe facturado por alcantarillado y depuración;2018;2.502.060
Total Nacional;;Importe facturado por alcantarillado y depuración;2016;2.485.747
Total Nacional;;Importe facturado por alcantarillado y depuración;2014;2.536.798
Total Nacional;;Importe facturado por alcantarillado y depuración;2013;2.383.001
Total Nacional;;Importe facturado por alcantarillado y depuración;2012;2.346.109
Total Nacional;;Importe facturado por alcantarillado y depuración;2011;2.005.529
Total Nacional;;Importe facturado por alcantarillado y depuración;2010;1.991.090
Total Nacional;;Importe facturado por alcantarillado y depuración;2009;1.885.025
Total Nacional;;Importe facturado por alcantarillado y depuración;2008;1.851.494
Total Nacional;;Importe facturado por alcantarillado y depuración;2007;1.940.830
Total Nacional;;Importe facturado por alcantarillado y depuración;2006;1.426.699
Total Nacional;;Importe facturado por alcantarillado y depuración;2005;1.329.547
Total Nacional;;Importe facturado por alcantarillado y depuración;2004;1.164.635
Total Nacional;;Importe facturado por alcantarillado y depuración;2003;886.061
Total Nacional;;Importe facturado por alcantarillado y depuración;2002;777.326
Total Nacional;;Importe facturado por alcantarillado y depuración;2001;735.009
Total Nacional;;Importe facturado por alcantarillado y depuración;2000;649.634
Total Nacional;;Longitud de la red de alcantarillado (km);2022;213.431
Total Nacional;;Longitud de la red de alcantarillado (km);2020;148.829
Total Nacional;;Longitud de la red de alcantarillado (km);2018;147.237
Total Nacional;;Longitud de la red de alcantarillado (km);2016;146.414
Total Nacional;;Longitud de la red de alcantarillado (km);2014;146.938
Total Nacional;;Longitud de la red de alcantarillado (km);2013;148.847
Total Nacional;;Longitud de la red de alcantarillado (km);2012;..
Total Nacional;;Longitud de la red de alcantarillado (km);2011;..
Total Nacional;;Longitud de la red de alcantarillado (km);2010;..
Total Nacional;;Longitud de la red de alcantarillado (km);2009;..
Total Nacional;;Longitud de la red de alcantarillado (km);2008;..
Total Nacional;;Longitud de la red de alcantarillado (km);2007;..
Total Nacional;;Longitud de la red de alcantarillado (km);2006;..
Total Nacional;;Longitud de la red de alcantarillado (km);2005;..
Total Nacional;;Longitud de la red de alcantarillado (km);2004;..
Total Nacional;;Longitud de la red de alcantarillado (km);2003;..
Total Nacional;;Longitud de la red de alcantarillado (km);2002;..
Total Nacional;;Longitud de la red de alcantarillado (km);2001;..
Total Nacional;;Longitud de la red de alcantarillado (km);2000;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2022;1.161.058
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2020;1.148.222
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2018;1.210.447
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2016;1.174.425
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2014;1.131.632
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2013;1.122.608
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2012;1.233.393
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2011;1.331.577
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2010;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2009;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2008;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2007;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2006;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2005;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2004;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2003;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2002;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2001;..
Total Nacional;;Volumen de lodos generados en el tratamiento de aguas residuales (toneladas de materia seca/año);2000;..
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2022;1.637.261
Total Nacional;01 Andalucía;Volumen de aguas residuales tratadas;2020;1.915.525
