Total Nacional;Comunidades y Ciudades Autónomas;Tipo de indicador;periodo;Total
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2022;4.252.295
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2020;4.243.555
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2018;4.235.947
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2016;4.290.577
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2014;4.271.966
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2013;4.323.475
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2012;4.485.264
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2011;4.513.818
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2010;4.580.645
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2009;4.709.261
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2008;4.940.976
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2007;4.969.041
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2006;4.697.857
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2005;4.873.202
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2004;4.973.463
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2003;4.947.008
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2002;4.783.127
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2001;4.803.471
Total Nacional;;Volumen de agua suministrada a la red de abastecimiento público;2000;4.782.096
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2022;3.151.196
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2020;3.177.815
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2018;3.188.055
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2016;3.199.910
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2014;3.214.034
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2013;3.210.843
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2012;3.338.028
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2011;3.381.318
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2010;3.393.271
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2009;3.500.578
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2008;3.731.399
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2007;3.778.036
Total Nacional;;1. Volumen total de agua registrada y distribuida por tipo de usuario;2006;3.913.059
