Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2022	47.475.420
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2021	47.385.107
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2020	47.450.795
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2019	47.026.208
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2018	46.722.980
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2017	46.572.132
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2016	46.557.008
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2015	46.624.382
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2014	46.771.341
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2013	47.129.783
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2012	47.265.321
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2011	47.190.493
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2010	47.021.031
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2009	46.745.807
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2008	46.157.822
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2007	45.200.737
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2006	44.708.964
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2005	44.108.530
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2004	43.197.684
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2003	42.717.064
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2002	41.837.894
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2001	41.116.842
Total Nacional		TOTAL EDADES	TOTAL	Ambos sexos	2000	40.499.791
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2022	8.500.187
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2021	8.472.407
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2020	8.464.411
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2019	8.414.240
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2018	8.384.408
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2017	8.379.820
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2016	8.388.107
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2015	8.399.043
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2014	8.402.305
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2013	8.440.300
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2012	8.449.985
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2011	8.424.102
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2010	8.370.975
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2009	8.302.923
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2008	8.202.220
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2007	8.059.461
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2006	7.975.672
Total Nacional	01 Andalucía	TOTAL EDADES	TOTAL	Ambos sexos	2005	7.849.799
